Date,Price,Change,% Change,Open,High,Low,VWAP,Short Interest % of Total,Short Interest,Volume % of 30-Day Average,Volume % of 90-Day Average,Volume 90-Day MAVG,Volume 30-Day MAVG,CVol
1/02/2008,258.1997,-24.2234,-8.57698963,264.59085,268.59473,255.24684,260.31183,1.812822407,8529883.244,276.7258945,270.8706693,13248042.32,13394734.14,35145460
4/02/2008,247.95477,-10.24493,-3.967831876,254.78139,256.63818,246.51338,250.68848,1.812822407,8529883.244,196.2609688,198.434111,13479673.74,13976626.74,26288635
5/02/2008,253.64505,5.69028,2.294886281,244.95187,254.74635,244.49643,250.91635,1.812822407,8529883.244,160.1357496,166.0394489,13654084.44,14428323.34,22381576
6/02/2008,251.09782,-2.54723,-1.004249837,255.8174,255.83241,249.206,251.73663,1.812822407,8529883.244,105.608196,111.5965854,13778239.48,14578456.14,15237492
7/02/2008,252.71939,1.62157,0.645792146,248.67047,257.34387,247.61946,253.11307,1.812822407,8529883.244,108.6629053,114.9738617,13898803.15,14998050.92,15841374
8/02/2008,258.59506,5.87567,2.324977913,254.95155,259.11557,254.5962,257.43002,1.812822407,8529883.244,90.97220083,98.16713604,13945973.32,15284649.71,13644057
11/02/2008,260.8322,2.23714,0.865113201,260.51193,262.1085,256.9485,259.51852,1.812822407,8529883.244,76.15015865,83.45982551,13918666.47,15476660.22,11639285
12/02/2008,259.29578,-1.53642,-0.589045371,261.94833,265.5568,256.7633,261.90887,1.812822407,8529883.244,85.98526952,95.61007898,13980411.61,15751556.17,13307648
13/02/2008,267.56876,8.27298,3.190557131,261.5029,267.75394,259.59604,263.71515,1.812822407,8529883.244,83.06830044,93.59202268,14059646.99,16030548.43,13084550
14/02/2008,266.3826,-1.18616,-0.443310348,269.43555,270.78186,265.757,268.19867,1.812822407,8529883.244,80.72063195,92.03616572,14090913.61,16175223.1,12939960
15/02/2008,265.07635,-1.30625,-0.490366113,264.4107,266.5878,262.4188,264.29645,2.275115965,10705115.66,64.27047674,73.77728151,14094923.93,16305156.13,10395893
19/02/2008,254.72133,-10.35502,-3.906429223,267.7289,267.78897,253.49515,258.93726,2.263036559,10705115.66,77.8115272,90.01319242,14041298.41,16371254.23,12687291
20/02/2008,254.74635,0.02502,0.009822499,251.9987,255.75233,249.65143,252.80452,2.263036559,10705115.66,81.30221308,94.79317092,14070632.16,16388470.63,13310192
21/02/2008,251.67337,-3.07298,-1.2062901,256.6732,256.8534,249.99176,252.27365,2.263036559,10705115.66,69.16284169,80.55595419,13936518.03,16411446.27,11334732
22/02/2008,254.14577,2.4724,0.982384429,251.273,254.74635,249.01585,251.56792,2.263036559,10705115.66,67.14643439,79.07069022,13907476.41,16329916.9,11019701
25/02/2008,243.45543,-10.69034,-4.206381243,253.21988,253.49515,243.10509,247.915,2.263036559,10705115.66,102.0499743,119.8253048,13938482.88,16463553.23,16664676
26/02/2008,232.31967,-11.13576,-4.574044621,230.82323,233.46077,223.64128,228.6886,2.263036559,10705115.66,282.5751242,333.7659228,14322615.55,17682944.37,46521906
27/02/2008,236.65886,4.33919,1.867766944,230.2877,237.97513,230.04247,234.99574,2.263036559,10705115.66,114.3635561,141.1951883,14413736.12,18060935.53,20222844
28/02/2008,237.9251,1.26624,0.535048635,235.47772,239.77687,233.90619,237.22792,2.263036559,10705115.66,72.84847441,91.28178767,14298494.03,18128992.7,13157116
29/02/2008,235.81804,-2.10706,-0.885598031,236.16338,240.10219,232.54988,236.25537,1.988452396,9406216.97,103.5460895,131.2855952,14157018.92,18051426.93,18771863
3/03/2008,228.73119,-7.08685,-3.005219618,235.98322,236.58879,225.27284,229.74066,1.988452396,9406216.97,83.57350948,106.5634728,14176803.69,18008335.23,15086211
4/03/2008,222.51518,-6.21601,-2.717604888,225.69327,226.89941,218.1009,222.25424,1.988452396,9406216.97,151.1155676,191.9572183,14328419.44,18348594.8,27213398
5/03/2008,224.06664,1.55146,0.697237824,222.8405,227.30482,222.21489,224.64719,1.988452396,9406216.97,80.95724584,103.6717068,14329184.85,18212179.93,14854517
6/03/2008,216.55943,-7.50721,-3.350436281,224.06168,226.86938,215.79868,221.48643,1.988452396,9406216.97,81.94177773,104.1467756,14366464.56,17581072.4,14923384
7/03/2008,216.88474,0.32531,0.150217425,214.64758,220.21295,213.3263,216.58519,1.988452396,9406216.97,91.7345918,112.260918,14471213.18,17492911.1,16127925
10/03/2008,207.0102,-9.87454,-4.552897544,214.62254,215.7086,206.71991,211.64717,1.988452396,9406216.97,91.20083506,110.2442539,14580415.81,17561794.23,15953681
11/03/2008,220.13283,13.12263,6.33912242,212.83583,220.28802,212.53052,215.99098,1.988452396,9406216.97,100.4201721,120.9539168,14623956.78,17763034.4,17635584
12/03/2008,220.30304,0.17021,0.077321497,220.21797,224.15677,219.24702,222.08127,1.988452396,9406216.97,74.82056669,90.88103307,14618963.51,17787986.83,13290403
13/03/2008,221.71942,1.41638,0.642923493,216.54442,223.70634,214.59752,219.38281,1.988452396,9406216.97,86.70132907,105.4959949,14645447.31,17773963.8,15422421
14/03/2008,219.17195,-2.54747,-1.148961151,221.7044,224.88748,215.51842,219.37125,2.055401921,9722916.411,73.90260916,89.68946271,14662416.96,17241306.6,13135423
17/03/2008,210.13821,-9.03374,-4.121759194,214.20213,217.06491,206.25446,211.02911,2.055401921,9722916.411,91.31227328,107.3726729,14640187.24,16594572.23,15743429
18/03/2008,219.79256,9.65435,4.594285827,214.69763,220.63336,212.971,216.77223,2.055401921,9722916.411,87.08205187,98.70702993,14613641.14,16199980.87,14450894
19/03/2008,216.20908,-3.58348,-1.630391857,220.76848,223.96658,216.04393,220.42114,2.055401921,9722916.411,76.20250975,84.47444331,14567825.48,15865421.4,12344792
