Date,Price,Change,% Change,Open,High,Low,VWAP,Short Interest % of Total,Short Interest,Volume % of 30-Day Average,Volume % of 90-Day Average,Volume 90-Day MAVG,Volume 30-Day MAVG,CVol
25/06/2004,51.8,0.78,1.52881223,51.02,51.93,50.87,51.47,7.639318164,30941072,102.6466879,102.770416,7404349,7456404,7648239
28/06/2004,53.39,1.59,3.069498069,52.2,54.04,52.2,53.23,7.639318164,30941072,154.2814782,155.3661303,7443797,7563782,11503850
29/06/2004,53.71,0.32,0.599363177,53.25,53.94,52.65,53.36,7.639318164,30941072,113.6193645,115.4507691,7456592,7679258,8593921
30/06/2004,54.4,0.69,1.284676969,53.7,54.7,53.42,54.21,7.639318164,30941072,90.00992778,92.69778234,7450334,7688723,6912095
1/07/2004,52.56,-1.84,-3.382352941,53.78,54.04,52.05,52.91,7.639318164,30941072,93.89959571,96.90411181,7426755,7742566,7219680
2/07/2004,52.59,0.03,0.057077626,52.6,53.24,51.83,52.62,7.639318164,30941072,62.79977492,65.47023987,7357500,7658666,4862314
6/07/2004,51.24,-1.35,-2.567027952,52.4,52.6,50.49,51.1412,7.639318164,30941072,80.39116944,83.68183474,7346401,7666353,6156891
7/07/2004,51,-0.24,-0.468384075,50.79,52.03,50.24,51.01,7.639318164,30941072,85.34803633,89.0651357,7352855,7708673,6543082
8/07/2004,49.5,-1.5,-2.941176471,48.54,49.97,48.47,49.31,7.639318164,30941072,130.1702562,136.4694417,7384748,7873875,10034400
9/07/2004,48.32,-1.18,-2.383838384,49.98,50.001,47.82,48.55,7.639318164,30941072,102.0270903,108.7848294,7418816,7900910,8033486
12/07/2004,49.05,0.73,1.510761589,48.15,49.35,48.03,48.85,7.639318164,30941072,89.53007642,95.3479805,7420006,7889378,7073691
13/07/2004,49.6,0.55,1.121304791,49.15,49.98,48.87,49.39,7.639318164,30941072,62.22026261,66.15616896,7367851,7580499,4908792
14/07/2004,49.5,-0.1,-0.201612903,49.06,50.4,48.89,49.7159,7.639318164,30941072,66.82619854,68.75490622,7342136,7395180,5065759
15/07/2004,48.67,-0.83,-1.676767677,49.57,49.67,48.12,48.6,7.222130787,29251363,70.95454546,71.46715574,7329034,7138690,5247216
16/07/2004,47.1,-1.57,-3.225806452,48.99,49.06,46.78,47.74,7.222130787,29251363,130.0389701,126.6617009,7358752,7032343,9283079
19/07/2004,46.02,-1.08,-2.292993631,47.26,47.26,45.15,46.01,7.222130787,29251363,140.1569576,133.9400674,7395000,7082693,9856318
20/07/2004,46.99,0.97,2.107779226,46.14,47.85,46.12,47.15,7.222130787,29251363,107.6739152,103.1266098,7402706,6917382,7626213
21/07/2004,44.76,-2.23,-4.745690572,47.32,47.6,44.52,45.79,7.222130787,29251363,135.012193,126.1607448,7428065,6971670,9339309
22/07/2004,45.82,1.06,2.36818588,43.64,46.07,43.64,44.74,7.222130787,29251363,235.7498196,221.2649052,7541530,7319754,16435700
23/07/2004,39.98,-5.84,-12.74552597,42.46,42.76,39.56,41.16,7.222130787,29251363,490.8404592,476.4061368,7867265,8298052,35928313
26/07/2004,38.78,-1.2,-3.00150075,40,40.24,38.33,38.89,7.19217405,29251363,168.380727,177.6007183,7953423,8523497,13972320
27/07/2004,39.11,0.33,0.8509541,39.2,39.91,38.8,39.3,7.19217405,29251363,123.5975137,132.4565486,8013730,8701963,10534830
28/07/2004,37.97,-1.14,-2.914855536,39.22,39.57,37.38,38.27,7.19217405,29251363,117.0592203,127.1124642,8063310,8811097,10186450
29/07/2004,38.58,0.61,1.606531472,38.29,38.96,38.02,38.52,7.19217405,29251363,93.06403579,101.6947394,8090470,8947844,8199962
30/07/2004,38.92,0.34,0.88128564,38.5,39.42,38.23,38.99,7.19217405,29251363,67.4433114,74.59049651,8057732,8953142,6034722
2/08/2004,38.3,-0.62,-1.593011305,38.45,38.76,37.81,38.16,7.19217405,29251363,66.05331279,73.39344736,7998663,9002691,5913847
3/08/2004,37.61,-0.69,-1.80156658,38.28,39.08,37.23,38.03,7.19217405,29251363,86.13358163,96.94545726,7997313,9111495,7754340
4/08/2004,37.12,-0.49,-1.302844988,36.92,37.46,36.4,37,7.19217405,29251363,107.1838101,122.1166061,8026795,9166346,9766047
